City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,nemuro,43.3236,145.575,15.84,90,100,5.82,JP,1692058645
261,kavaratti,10.5669,72.642,27.58,69,69,1.72,IN,1692058646
262,gazli,40.1333,63.45,20.47,23,3,6.16,UZ,1692058646
263,san luis,-33.295,-66.3356,18.35,22,90,1.96,AR,1692058646
264,mount gambier,-37.8333,140.7667,9.3,67,15,2.33,AU,1692058505
265,hawaiian paradise park,19.5933,-154.9731,28.35,73,0,4.63,US,1692058647
266,lubuklinggau,-3.3,102.8667,22.91,94,70,0.72,ID,1692058647
267,moussoro,13.6408,16.4901,28.45,62,80,2.27,TD,1692058647
268,gorontalo,0.5412,123.0595,28.27,69,42,3.04,ID,1692058647
269,kolonia,50.9333,6.95,22.76,81,0,1.54,DE,1692058451
270,meadow lake,34.8014,-106.5436,30.96,36,77,6.01,US,1692058648
271,ilulissat,69.2167,-51.1,8.01,87,75,2.06,GL,1692058648
272,namtsy,62.7161,129.6658,14.45,96,100,3.51,RU,1692058648
273,alto araguaia,-17.3147,-53.2153,24.86,39,100,2.97,BR,1692058648
274,namibe,-15.1961,12.1522,16.01,86,2,2.58,AO,1692058649
275,kuala tungkal,-0.8167,103.4667,24.77,90,62,2.47,ID,1692058649
276,polyarnyy,69.1989,33.4478,15.88,95,100,2.44,RU,1692058650
277,camacupa,-12.0167,17.4833,15.42,27,0,1.58,AO,1692058650
278,al bardiyah,31.7561,25.0865,25.11,68,0,4.2,LY,1692058650
279,okny,47.5404,29.46,20.54,48,0,2.17,UA,1692058651
280,salalah,17.0151,54.0924,27.05,94,100,2.06,OM,1692058651
281,nogliki,51.8333,143.1667,17.35,65,100,3.51,RU,1692058652
282,ocumare del tuy,10.1165,-66.7761,23.85,88,92,1.22,VE,1692058652
283,villalbilla,40.4498,-3.3452,26.8,21,0,2.06,ES,1692058652
284,karratha,-20.7377,116.8463,20.31,57,20,3.02,AU,1692058653
285,xinzhou,38.4092,112.7333,23.25,80,69,0.56,CN,1692058653
286,san angelo,31.4638,-100.437,36.41,38,12,8.49,US,1692058642
287,guerrero negro,27.9769,-114.0611,23.39,69,8,8.43,MX,1692058654
288,zherdevka,51.8486,41.4606,18.52,75,3,3.2,RU,1692058654
289,mejit,10.2753,170.8646,28.63,81,44,7.68,MH,1692058654
290,flying fish cove,-10.4217,105.6791,24.82,83,75,5.66,CX,1692058654
291,uturoa,-16.7333,-151.4333,25.69,75,84,7.08,PF,1692058655
292,saint-joseph,-21.3667,55.6167,19.21,79,19,5.36,RE,1692058655
293,east london,-33.0153,27.9116,15.58,67,97,7.81,ZA,1692058655
294,colonia,50.9333,6.95,22.76,81,0,1.54,DE,1692058544
295,selfoss,63.9331,-20.9971,8.91,89,93,1.96,IS,1692058656
296,bordighera,43.7806,7.6645,28.35,62,0,1.34,IT,1692058364
297,turpan,42.9333,89.1667,26.86,35,98,2.55,CN,1692058656
298,howrah,22.5892,88.3103,28.0,94,40,0.0,IN,1692058656
299,debark',13.1561,37.8981,9.98,85,18,0.79,ET,1692058657
300,pisco,-13.7,-76.2167,19.03,82,0,6.17,PE,1692058476
301,al lagowa,11.4,29.1333,22.34,81,100,1.56,SD,1692058657
302,conceicao da barra,-18.5933,-39.7322,21.56,81,100,1.88,BR,1692058657
303,tolanaro,-25.0319,46.9987,20.33,96,75,4.5,MG,1692058658
304,beregovoy,55.173,73.2198,12.03,97,98,2.81,RU,1692058658
305,palmer,42.1584,-72.3287,24.73,76,75,0.0,US,1692058658
306,tofol,5.3248,163.0078,26.88,89,100,5.14,FM,1692058658
307,rocha,-34.4833,-54.3333,11.78,71,2,2.28,UY,1692058466
308,pankrushikha,53.8319,80.3406,10.4,98,100,3.13,RU,1692058659
309,queenstown,-31.8976,26.8753,9.17,69,63,1.25,ZA,1692058659
310,amga,60.8953,131.9608,15.01,97,100,2.21,RU,1692058659
311,tupiza,-21.45,-65.7167,13.75,37,3,2.97,BO,1692058660
312,prakhon chai,14.6059,103.1208,25.61,85,100,3.01,TH,1692058660
313,bang saphan,11.2126,99.5117,27.04,79,99,3.92,TH,1692058660
314,forked river,39.8398,-74.1901,26.25,81,61,2.86,US,1692058660
315,lebu,-37.6167,-73.65,11.79,88,100,3.48,CL,1692058601
316,lauro de freitas,-12.8944,-38.3272,26.01,78,40,4.12,BR,1692058597
317,tvoroyri,61.5556,-6.8111,10.68,95,44,8.13,FO,1692058661
318,khanty-mansiysk,61.0042,69.0019,10.06,93,38,1.0,RU,1692058661
319,hurricane,37.1753,-113.2899,37.26,24,26,5.68,US,1692058661
320,colby,39.3958,-101.0524,26.57,36,0,5.14,US,1692058661
321,albertina,-22.2008,-46.6158,16.92,84,97,0.83,BR,1692058662
322,la sarre,48.8002,-79.1996,17.92,64,55,1.65,CA,1692058416
323,konarka,19.9,86.1167,26.22,76,100,2.57,IN,1692058662
324,pacasmayo,-7.4006,-79.5714,21.47,83,65,5.09,PE,1692058662
325,balqash,46.8481,74.995,17.43,44,74,4.19,KZ,1692058663
326,temax,21.15,-88.9333,31.13,59,21,5.11,MX,1692058663
327,pacora,9.0833,-79.2833,28.45,94,40,0.0,PA,1692058663
328,mwene-ditu,-7.0,23.45,24.26,24,20,1.75,CD,1692058581
329,tucupita,9.0622,-62.051,25.67,86,72,2.03,VE,1692058663
330,bogale,16.2833,95.4,25.84,90,95,2.58,MM,1692058664
331,benghazi,32.1167,20.0667,25.94,67,0,3.68,LY,1692058664
332,kailua-kona,19.6406,-155.9956,30.98,72,75,5.66,US,1692058625
333,birao,10.2849,22.7882,21.61,94,50,2.17,CF,1692058664
334,alajarvi,63.0,23.8167,12.81,95,51,2.74,FI,1692058664
335,balabac,7.9868,117.0645,27.73,78,84,2.07,PH,1692058665
336,progreso,21.2833,-89.6667,28.39,77,29,8.59,MX,1692058665
337,laojunmiao,39.8333,97.7333,19.55,42,81,2.64,CN,1692058665
338,toliara,-23.35,43.6667,19.32,90,4,1.63,MG,1692058665
339,khuzdar,27.7384,66.6434,27.16,15,81,1.69,PK,1692058665
340,severo-yeniseyskiy,60.3725,93.0408,13.63,99,100,0.57,RU,1692058666
341,pizarro,4.9533,-77.366,26.25,83,15,2.45,CO,1692058666
342,nova vicosa,-17.8919,-39.3719,22.1,80,95,2.99,BR,1692058666
343,nantucket,41.2835,-70.0995,24.03,73,0,2.57,US,1692058604
344,reggane,26.7158,0.1714,36.09,10,0,8.33,DZ,1692058666
345,pontes e lacerda,-15.2261,-59.3353,24.63,48,100,1.37,BR,1692058482
346,argo,37.6333,22.7333,24.32,66,6,1.77,GR,1692058667
347,porangatu,-13.4408,-49.1486,26.37,29,87,2.08,BR,1692058667
348,hithadhoo,-0.6,73.0833,28.05,70,90,2.95,MV,1692058667
349,novyy urengoy,66.0833,76.6333,13.83,82,87,3.15,RU,1692058667
350,felege neway,6.3,36.8833,17.14,78,48,1.06,ET,1692058667
351,ushibukamachi,32.1906,130.0228,28.04,76,5,5.64,JP,1692058668
